year,country,origin,refugees,events
2012,Belgium,Georgia,26,
2012,Belgium,Ghana,15,
2012,Belgium,Guinea,1938,
2012,Belgium,Gambia,,
2012,Belgium,Guinea-Bissau,9,
2012,Belgium,Equatorial Guinea,,
2012,Belgium,Guatemala,5,
2012,Belgium,Guyana,,
2012,Belgium,Honduras,,
2012,Belgium,Croatia,7,
2012,Belgium,Haiti,4,
2012,Belgium,Hungary,75,
2012,Belgium,India,10,
2012,Belgium,Iran,411,
2012,Belgium,Iraq,1541,
2012,Belgium,Israel,5,
2012,Belgium,Jordan,21,
2012,Belgium,Kazakhstan,17,
2012,Belgium,Kenya,28,
2012,Belgium,Kyrgyzstan,33,
2012,Belgium,Cambodia,13,
2012,Belgium,South Korea,,
2012,Belgium,Kuwait,4,
2012,Belgium,Laos,16,
2012,Belgium,Lebanon,87,
2012,Belgium,Liberia,22,
2012,Belgium,Libya,9,
2012,Belgium,Sri Lanka,302,
2012,Belgium,Lithuania,13,
2012,Belgium,Latvia,4,
2012,Belgium,Morocco,18,
2012,Belgium,Rep. of Moldova,3,
2012,Belgium,Madagascar,1,
2012,Belgium,Macedonia,45,
2012,Belgium,Mali,11,
2012,Belgium,Myanmar,17,
2012,Belgium,Mongolia,,
2012,Belgium,Mauritania,156,
2012,Belgium,Mauritius,,
2012,Belgium,Malawi,,
2012,Belgium,Malaysia,1,
2012,Belgium,Niger,50,
2012,Belgium,Nigeria,19,
2012,Belgium,Nepal,13,
2012,Belgium,Pakistan,39,
2012,Belgium,Peru,4,
2012,Belgium,Poland,220,
2012,Belgium,North Korea,61,
2012,Belgium,Paraguay,,
2012,Belgium,Palestinian,130,Civil war (2005-now)
2012,Belgium,Romania,38,
2012,Belgium,Russian Federation,2661,
2012,Belgium,Rwanda,966,
2012,Belgium,Sudan,64,Conflict of Dafur
2012,Belgium,Senegal,209,
2012,Belgium,Sierra Leone,34,
2012,Belgium,El Salvador,,
2012,Belgium,Somalia,288,
2012,Belgium,Serbia and Kosovo,983,
2012,Belgium,South Sudan,,Conflict of Dafur
2012,Belgium,Suriname,,
2012,Belgium,Slovakia,,
2012,Belgium,Syrian Arab Rep.,355,Civil war (2011-now)
2012,Belgium,Chad,48,
2012,Belgium,Togo,115,
2012,Belgium,Thailand,1,
2012,Belgium,Tajikistan,,
2012,Belgium,Turkmenistan,,
2012,Belgium,Tunisia,11,
2012,Belgium,Turkey,514,
2012,Belgium,Tanzania,43,
2012,Belgium,Uganda,19,
2012,Belgium,Ukraine,85,
2012,Belgium,Uruguay,2,
2012,Belgium,Uzbekistan,18,
2012,Belgium,Viet Nam,48,
2012,Belgium,Stateless,,
2012,Belgium,Various/Unknown,5326,
2012,Belgium,Yemen,4,
2012,Belgium,South Africa,2,
2012,Belgium,Zambia,,
2013,Belgium,Afghanistan,4328,Afghanistan war (2001-now)
2013,Belgium,Angola,67,
2013,Belgium,Albania,398,
2013,Belgium,United Arab Emirates,,
2013,Belgium,Argentina,3,
2013,Belgium,Armenia,129,
2013,Belgium,Austria,1,
2013,Belgium,Azerbaijan,36,
2013,Belgium,Burundi,309,
2013,Belgium,Belgium,,
2013,Belgium,Benin,22,
2013,Belgium,Burkina Faso,52,
2013,Belgium,Bangladesh,12,
2013,Belgium,Bulgaria,16,
2013,Belgium,Bosnia and Herzegovina,41,
2013,Belgium,Belarus,43,
2013,Belgium,Bolivia,2,
2013,Belgium,Brazil,,
2013,Belgium,Bhutan,2,
2013,Belgium,Central African Rep.,10,
2013,Belgium,Canada,,
2013,Belgium,Switzerland,1,
2013,Belgium,Chile,20,
2013,Belgium,China,958,
2013,Belgium,Ivory Coast,190,
2013,Belgium,Cameroon,354,
2013,Belgium,Dem. Rep. of the Congo,916,Civil war (1994-now)
2013,Belgium,Congo,27,Civil war (1994-now)
2013,Belgium,Colombia,28,
2013,Belgium,Costa Rica,,
2013,Belgium,Cuba,2,
2013,Belgium,Czech Rep.,2,
2013,Belgium,Germany,1,
2013,Belgium,Djibouti,113,
2013,Belgium,Denmark,1,
2013,Belgium,Dominican Rep.,,
2013,Belgium,Algeria,28,
2013,Belgium,Egypt,19,
2013,Belgium,Eritrea,105,
2013,Belgium,Spain,1,
2013,Belgium,Ethiopia,82,
2013,Belgium,France,1,
2013,Belgium,Gabon,10,
2013,Belgium,United Kingdom,,
2013,Belgium,Georgia,33,
2013,Belgium,Ghana,18,
2013,Belgium,Guinea,2290,
2013,Belgium,Gambia,19,
2013,Belgium,Guinea-Bissau,7,
2013,Belgium,Equatorial Guinea,5,
2013,Belgium,Guatemala,7,
2013,Belgium,Croatia,7,
2013,Belgium,Haiti,2,
2013,Belgium,Hungary,21,
2013,Belgium,India,9,
2013,Belgium,Iran,486,
2013,Belgium,Iraq,3058,
2013,Belgium,Israel,7,
2013,Belgium,Italy,1,
2013,Belgium,Jordan,27,
2013,Belgium,Kazakhstan,33,
2013,Belgium,Kenya,29,
2013,Belgium,Kyrgyzstan,56,
2013,Belgium,Cambodia,5,
2013,Belgium,Kuwait,4,
2013,Belgium,Laos,7,
2013,Belgium,Lebanon,66,
2013,Belgium,Liberia,17,
2013,Belgium,Libya,4,
2013,Belgium,Sri Lanka,313,
2013,Belgium,Lithuania,3,
2013,Belgium,Latvia,1,
2013,Belgium,Morocco,27,
2013,Belgium,Rep. of Moldova,3,
2013,Belgium,Madagascar,3,
2013,Belgium,Mexico,1,,
2013,Belgium,Macedonia,,
2013,Belgium,Mali,17,
2013,Belgium,Myanmar,18,
2013,Belgium,Montenegro,1,
2013,Belgium,Mongolia,3,
2013,Belgium,Mauritania,155,
2013,Belgium,Mauritius,1,
2013,Belgium,Malawi,,
2013,Belgium,Malaysia,1,
2013,Belgium,Namibia,1,
2013,Belgium,Niger,45,
2013,Belgium,Nigeria,23,
2013,Belgium,Netherlands,5,
2013,Belgium,Nepal,12,
2013,Belgium,Pakistan,77,
2013,Belgium,Peru,4,
2013,Belgium,Poland,65,
2013,Belgium,North Korea,68,
2013,Belgium,Palestinian,125,Civil war (2005-now)
2013,Belgium,Romania,25,
2013,Belgium,Russian Federation,2177,
2013,Belgium,Rwanda,798,
2013,Belgium,Saudi Arabia,,
2013,Belgium,Sudan,129,Conflict of Dafur
2013,Belgium,Senegal,293,
2013,Belgium,Sierra Leone,29,
2013,Belgium,El Salvador,13,
2013,Belgium,Somalia,559,
2013,Belgium,Serbia and Kosovo,822,
2013,Belgium,Suriname,,
2013,Belgium,Slovakia,1,
2013,Belgium,Syrian Arab Rep.,1987,Civil war (2011-now)
2013,Belgium,Chad,39,
2013,Belgium,Togo,143,
2013,Belgium,Tajikistan,5,
2013,Belgium,Turkmenistan,1,
2013,Belgium,Tunisia,5,
2013,Belgium,Turkey,472,
2013,Belgium,Tanzania,55,
2013,Belgium,Uganda,18,
2013,Belgium,Ukraine,33,
2013,Belgium,United States of America,3,
2013,Belgium,Uzbekistan,23,
2013,Belgium,Venezuela,,
2013,Belgium,Viet Nam,15,
2013,Belgium,Stateless,16,
2013,Belgium,Various/Unknown,2435,
2013,Belgium,Yemen,6,
2013,Belgium,South Africa,2,
2013,Belgium,Zimbabwe,5,
2014,Belgium,Afghanistan,5038,Afghanistan war (2001-now)
2014,Belgium,Angola,63,
2014,Belgium,Albania,439,
2014,Belgium,Argentina,-1,
2014,Belgium,Armenia,133,
2014,Belgium,Austria,-1,
2014,Belgium,Azerbaijan,32,
2014,Belgium,Burundi,305,
2014,Belgium,Belgium,,
2014,Belgium,Benin,27,
2014,Belgium,Burkina Faso,55,
2014,Belgium,Bangladesh,13,
2014,Belgium,Bulgaria,18,
2014,Belgium,Bosnia and Herzegovina,44,
2014,Belgium,Belarus,41,
2014,Belgium,Bolivia,-1,
2014,Belgium,Bhutan,-1,
2014,Belgium,Central African Rep.,19,
2014,Belgium,Canada,-1,
2014,Belgium,Switzerland,-1,
2014,Belgium,Chile,19,
2014,Belgium,China,1051,
2014,Belgium,Ivory Coast,215,
2014,Belgium,Cameroon,361,
2014,Belgium,Dem. Rep. of the Congo,1100,Civil war (1994-now)
2014,Belgium,Congo,30,Civil war (1994-now)
2014,Belgium,Colombia,28,
2014,Belgium,Cuba,-1,
2014,Belgium,Czech Rep.,-1,
2014,Belgium,Germany,-1,
2014,Belgium,Djibouti,146,
2014,Belgium,Denmark,-1,
2014,Belgium,Dominican Rep.,,
2014,Belgium,Algeria,37,
2014,Belgium,Egypt,29,
2014,Belgium,Eritrea,130,
2014,Belgium,Spain,-1,
2014,Belgium,Ethiopia,80,
2014,Belgium,France,-1,
2014,Belgium,Gabon,9,
2014,Belgium,United Kingdom,-1,
2014,Belgium,Georgia,36,
2014,Belgium,Ghana,29,
2014,Belgium,Guinea,2550,
2014,Belgium,Gambia,19,
2014,Belgium,Guinea-Bissau,10,
2014,Belgium,Equatorial Guinea,-1,
2014,Belgium,Greece,-1,
2014,Belgium,Guatemala,10,
2014,Belgium,Honduras,,
2014,Belgium,Croatia,6,
2014,Belgium,Haiti,-1,
2014,Belgium,Hungary,19,
2014,Belgium,India,10,
2014,Belgium,Iran,639,
2014,Belgium,Iraq,3357,
2014,Belgium,Israel,9,
2014,Belgium,Italy,-1,
2014,Belgium,Jordan,20,
2014,Belgium,Kazakhstan,38,
2014,Belgium,Kenya,29,
2014,Belgium,Kyrgyzstan,66,
2014,Belgium,Cambodia,-1,
2014,Belgium,Kuwait,8,
2014,Belgium,Laos,8,
2014,Belgium,Lebanon,77,
2014,Belgium,Liberia,20,
2014,Belgium,Libya,6,
2014,Belgium,Sri Lanka,336,
2014,Belgium,Lesotho,,
2014,Belgium,Lithuania,-1,
2014,Belgium,Latvia,-1,
2014,Belgium,Morocco,37,
2014,Belgium,Rep. of Moldova,-1,
2014,Belgium,Madagascar,-1,
2014,Belgium,Mexico,-1,
2014,Belgium,Macedonia,75,
2014,Belgium,Mali,44,
2014,Belgium,Myanmar,15,
2014,Belgium,Montenegro,-1,
2014,Belgium,Mongolia,-1,
2014,Belgium,Mauritania,191,
2014,Belgium,Mauritius,-1,
2014,Belgium,Malaysia,-1,
2014,Belgium,Namibia,-1,
2014,Belgium,Niger,67,
2014,Belgium,Nigeria,28,
2014,Belgium,Netherlands,5,
2014,Belgium,Nepal,15,
2014,Belgium,Pakistan,130,
2014,Belgium,Peru,-1,
2014,Belgium,Poland,62,
2014,Belgium,North Korea,66,
2014,Belgium,Palestinian,128,Civil war (2005-now)
2014,Belgium,Romania,23,
2014,Belgium,Russian Federation,2193,
2014,Belgium,Rwanda,873,
2014,Belgium,Sudan,135,Conflict of Dafur
2014,Belgium,Senegal,345,
2014,Belgium,Sierra Leone,37,
2014,Belgium,El Salvador,15,
2014,Belgium,Somalia,625,
2014,Belgium,Serbia and Kosovo,686,
2014,Belgium,Sao Tome and Principe,,
2014,Belgium,Suriname,,
2014,Belgium,Slovakia,-1,
2014,Belgium,Syrian Arab Rep.,2620,Civil war (2011-now)
2014,Belgium,Chad,36,
2014,Belgium,Togo,167,
2014,Belgium,Tajikistan,5,
2014,Belgium,Tunisia,16,
2014,Belgium,Turkey,504,
2014,Belgium,Tanzania,58,
2014,Belgium,Uganda,23,
2014,Belgium,Ukraine,33,
2014,Belgium,United States of America,-1,
2014,Belgium,Uzbekistan,25,
2014,Belgium,Venezuela,-1,
2014,Belgium,Viet Nam,16,
2014,Belgium,Stateless,31,
2014,Belgium,Various/Unknown,3009,
2014,Belgium,Yemen,7,
2014,Belgium,South Africa,-1,
2014,Belgium,Zambia,,
2014,Belgium,Zimbabwe,6,
